category,data_source,freq,tickers,cut,fields,vendor_tickers,local-close,ldn-close,,
fx,bloomberg,daily,USDNOK,LDN,"close,open,high,low",USDNOK CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDSEK,LDN,"close,open,high,low",USDSEK CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDJPY,LDN,"close,open,high,low",USDJPY CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDBRL,LDN,"close,open,high,low",USDBRL CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDMXN,LDN,"close,open,high,low",USDMXN CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDCLP,LDN,"close,open,high,low",USDCLP CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDCOP,LDN,"close,open,high,low",USDCOP CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDPLN,LDN,"close,open,high,low",USDPLN CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDHUF,LDN,"close,open,high,low",USDHUF CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDCZK,LDN,"close,open,high,low",USDCZK CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDILS,LDN,"close,open,high,low",USDILS CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDRUB,LDN,"close,open,high,low",USDRUB CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDZAR,LDN,"close,open,high,low",USDZAR CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDTRY,LDN,"close,open,high,low",USDTRY CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDKRW,LDN,"close,open,high,low",USDKRW CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDTWD,LDN,"close,open,high,low",USDTWD CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDMYR,LDN,"close,open,high,low",USDMYR CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDINR,LDN,"close,open,high,low",USDINR CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDIDR,LDN,"close,open,high,low",USDIDR CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDSGD,LDN,"close,open,high,low",USDSGD CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDCNY,LDN,"close,open,high,low",USDCNY CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,USDCNH,LDN,"close,open,high,low",USDCNH CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,XAUUSD,LDN,"close,open,high,low",XAUUSD CMPT Curncy,6:00pm LDN,,,
fx,bloomberg,daily,XAGUSD,LDN,"close,open,high,low",XAGUSD CMPT Curncy,6:00pm LDN,,,
fx,bloomberg,daily,EURUSD,10AM,"close,open,high,low",EURUSD F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,GBPUSD,10AM,"close,open,high,low",GBPUSD F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,AUDUSD,10AM,"close,open,high,low",AUDUSD F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,NZDUSD,10AM,"close,open,high,low",NZDUSD F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDUSD,10AM,"close,open,high,low",USD Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDCAD,10AM,"close,open,high,low",USDCAD F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDCHF,10AM,"close,open,high,low",USDCHF F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDNOK,10AM,"close,open,high,low",USDNOK F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDSEK,10AM,"close,open,high,low",USDSEK F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDJPY,10AM,"close,open,high,low",USDJPY F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDBRL,10AM,"close,open,high,low",USDBRL F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDMXN,10AM,"close,open,high,low",USDMXN F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDCLP,10AM,"close,open,high,low",USDCLP F100 Curncy,10:00am NYC,,,
